WLMFRDGD, 20/08/2018 12:45:33,59.99, Kwik-E-Mart, PAYMENT,
YGXKOEIA, 20/08/2018 12:46:17,10.95, Kwik-E-Mart, PAYMENT,
LFVCTEYM, 20/08/2018 12:50:02,5, MacLaren, PAYMENT,
SUOVOISP, 20/08/2018 13:12:22,5, Kwik-E-Mart, PAYMENT,
AKNBVHMN, 20/08/2018 13:14:11,10.95, Kwik-E-Mart, REVERSAL, YGXKOEIA
JYAPKZFZ, 20/08/2018 14:07:10,99.5, MacLaren, PAYMENT,
WLFFRDGD, 20/08/2018 12:48:33,59.99, Kwik-E-Mart, PAYMENT,
WLFFGDGD, 20/08/2018 12:45:33,19.99, Kwik-E-Mart, PAYMENT,
LFVGTEYM, 20/08/2018 12:50:02,10, MacLaren, PAYMENT,
LFVDTEYM, 20/08/2018 12:50:02,20, MacLaren, PAYMENT,
LFVETEYM, 20/08/2018 12:50:02,30, MacLaren, PAYMENT,
LFVFTEYM, 20/08/2018 12:50:02,10, MacLaren, REVERSAL,LFVCTEYM
LFVKTHYM, 20/08/2018 12:50:02,10, MacLaren, REVERSAL,LFVDTEYM
